appname,datum,starttime,seconds,lat,long
App9292,2016-09-12,2016-09-12 07:34:39,32,52.2960548,4.6700066
App9292,2016-09-12,2016-09-12 08:08:38,19,52.3087202,4.7620171
WhatsApp,2016-09-12,2016-09-12 08:20:03,10,52.3473793,4.8332857
Browser,2016-09-12,2016-09-12 08:20:25,680,52.3473793,4.8332857
App9292,2016-09-12,2016-09-12 08:35:56,22,52.3791399,4.89908
Browser,2016-09-12,2016-09-12 08:59:29,75,52.3643677,4.9151667
Browser,2016-09-12,2016-09-12 09:13:07,154,52.3640386,4.9141397
NOS,2016-09-12,2016-09-12 12:34:18,40,52.3628125,4.9115947
NUnl,2016-09-12,2016-09-12 12:35:00,152,52.3628125,4.9115947
NUnl,2016-09-12,2016-09-12 12:45:57,27,52.3628125,4.9115947
App9292,2016-09-12,2016-09-12 15:53:37,35,52.3628125,4.9115947
App9292,2016-09-12,2016-09-12 16:28:02,35,52.372337,4.8929448
App9292,2016-09-12,2016-09-12 16:59:27,24,52.3556545,4.8347327
Dropbox,2016-09-12,2016-09-12 20:34:47,19,52.297438,4.6747825
App9292,2016-09-12,2016-09-12 23:05:22,171,52.297438,4.6747825
WhatsApp,2016-09-13,2016-09-13 10:24:42,259,52.2960548,4.6700066
WhatsApp,2016-09-13,2016-09-13 10:36:17,153,52.2960548,4.6700066
Slack,2016-09-13,2016-09-13 10:38:54,23,52.2960548,4.6700066
WhatsApp,2016-09-13,2016-09-13 10:40:31,2,52.2960548,4.6700066
WhatsApp,2016-09-13,2016-09-13 10:51:21,3,52.2960548,4.6700066
Slack,2016-09-13,2016-09-13 11:16:46,27,52.2960548,4.6700066
Slack,2016-09-13,2016-09-13 11:17:14,16,52.2960548,4.6700066
WhatsApp,2016-09-13,2016-09-13 11:17:33,5,52.2960548,4.6700066
WhatsApp,2016-09-13,2016-09-13 11:34:51,21,52.2960548,4.6700066
WhatsApp,2016-09-13,2016-09-13 11:41:14,3,52.2960548,4.6700066
Dropbox,2016-09-13,2016-09-13 11:50:01,365,52.2919896,4.6947444
WhatsApp,2016-09-13,2016-09-13 11:56:13,5,52.291321,4.7219689
App9292,2016-09-13,2016-09-13 12:15:29,39,52.3890871,4.838152
Slack,2016-09-13,2016-09-13 13:20:28,16,52.3904008,4.9056573
Slack,2016-09-13,2016-09-13 13:20:59,80,52.3904008,4.9056573
App9292,2016-09-13,2016-09-13 17:28:46,53,52.3904008,4.9056573
WhatsApp,2016-09-13,2016-09-13 17:42:56,35,52.3904008,4.9056573
WhatsApp,2016-09-13,2016-09-13 18:03:15,4,52.3778537,4.902953
WhatsApp,2016-09-13,2016-09-13 18:50:32,115,52.302003,4.6605507
NOS,2016-09-13,2016-09-13 18:52:36,219,52.302003,4.6605507
WhatsApp,2016-09-14,2016-09-14 09:52:21,414,52.2960548,4.6700066
WhatsApp,2016-09-14,2016-09-14 15:32:24,18,52.2960548,4.6700066
WhatsApp,2016-09-14,2016-09-14 15:52:02,63,52.2960548,4.6700066
Slack,2016-09-14,2016-09-14 16:59:00,863,52.2960548,4.6700066
