datum,vertrektijd,aankomsttijd,status
2016-09-12,2016-09-12 00:00:00,2016-09-12 07:49:00,op bestemming
2016-09-12,2016-09-12 07:49:00,2016-09-12 08:56:00,onderweg
2016-09-12,2016-09-12 08:56:00,2016-09-12 16:04:00,op bestemming
2016-09-12,2016-09-12 16:04:00,2016-09-12 17:28:00,onderweg
2016-09-12,2016-09-12 17:28:00,2016-09-12 23:59:59,op bestemming
2016-09-13,2016-09-13 00:00:00,2016-09-13 11:41:00,op bestemming
2016-09-13,2016-09-13 11:41:00,2016-09-13 12:33:00,onderweg
2016-09-13,2016-09-13 12:33:00,2016-09-13 17:43:00,op bestemming
2016-09-13,2016-09-13 17:43:00,2016-09-13 18:49:00,onderweg
2016-09-13,2016-09-13 18:49:00,2016-09-13 23:59:59,op bestemming
2016-09-14,2016-09-14 00:00:00,2016-09-14 23:59:59,op bestemming
2016-09-15,2016-09-15 00:00:00,2016-09-15 15:18:00,op bestemming
2016-09-15,2016-09-15 15:18:00,2016-09-15 16:05:00,onderweg
2016-09-15,2016-09-15 16:05:00,2016-09-15 17:21:00,op bestemming
2016-09-15,2016-09-15 17:21:00,2016-09-15 18:35:00,onderweg
2016-09-15,2016-09-15 18:35:00,2016-09-15 23:59:59,op bestemming
2016-09-16,2016-09-16 00:00:00,2016-09-16 08:12:00,op bestemming
2016-09-16,2016-09-16 08:12:00,2016-09-16 09:04:00,onderweg
2016-09-16,2016-09-16 09:04:00,2016-09-16 09:48:00,op bestemming
2016-09-16,2016-09-16 09:48:00,2016-09-16 10:31:00,onderweg
2016-09-16,2016-09-16 10:31:00,2016-09-16 15:30:00,op bestemming
2016-09-16,2016-09-16 15:30:00,2016-09-16 16:07:00,onderweg
2016-09-16,2016-09-16 16:07:00,2016-09-16 16:54:00,op bestemming
2016-09-16,2016-09-16 16:54:00,2016-09-16 18:12:00,onderweg
2016-09-16,2016-09-16 18:12:00,2016-09-16 23:59:59,op bestemming
2016-09-17,2016-09-17 00:00:00,2016-09-17 23:59:59,op bestemming
